"nama","kode_rs","tempat_tidur","telepon","lokasi.lat","lokasi.lon","alamat","tipe","wilayah"
"RS UMUM PENYANGGA PERBATASAN BETUN","5306042", 139,"0813-2159-6129", -9.10100000,124.89100000,"JL. SUKABIHANAWA NO. 02 DESA KAMANASA KEC.MALAKA TENGAH","RS_RUJUKAN_PROVINSI","MALAKA, NUSA TENGGARA TIMUR"
"RS UMUM DAERAH KOTA TIDORE KEPULAUAN","8202043", 161,"(0921) 3161035",  0.68138100,127.47880000,"JL. SULTAN MANSYUR NO.11, SOA SIO, TIDORE, KOTA TIDORE KEPULAUAN, MALUKU UTARA","RS_RUJUKAN_PROVINSI","KOTA TIDORE KEPULAUAN, MALUKU UTARA"
"RS UMUM DAERAH SYEHK YUSUF GOWA","7306046", 180,"(0411) 866536", -5.30325236,119.74331860,"JL. DR. WAHIDIN SUDIROHUSODO NO.48 SUNGGUMINASA KABUPATEN GOWA","RS_RUJUKAN_PROVINSI","GOWA, SULAWESI SELATAN"
"RS IBU DAN ANAK KOTA BANDUNG","3273260", 127,"", -6.92897300,107.60040700,"JL. ASTANAANYAR NO. 224 BANDUNG","RS_RUJUKAN_PROVINSI","KOTA BANDUNG, JAWA BARAT"
"RS UMUM  ROYAL TARUMA","3174486", 144,"(021) 56958338", -6.16666600,106.78525100,"JL. DAAN MOGOT NO.34,JAKARTA BARAT","RS_RUJUKAN_PROVINSI","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM DAERAH  PETALA BUMI","1471091", 109,"(0761) 23024",  0.52941200,101.45785200,"JL. DR. SOETOMO NO.65, SEKIP, KEC. LIMA PULUH, KOTA PEKANBARU, RIAU 28155","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU"
"RS UMUM DAERAH ANUNTALOKO PARIGI","7208011", 316,"0450-22251", -0.81181300,120.17524700,"JL. SIS AL JUFRI NO.214 PARIGI MOUTONG","RS_RUJUKAN_PROVINSI","PARIGI MOUTONG, SULAWESI TENGAH"
"RS UMUM DAERAH BHAKTI DHARMA HUSADA","3578213", 272,"", -7.25330000,112.63500000,"JL. RAYA KENDUNG NO.115-117, SURABAYA","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR"
"RS UMUM KARTIKA HUSADA SETU","3216413", 103,"(021) 82610003", -6.34034200,107.03851000,"JL. MT. HARYONO NO.RT. 01/06, BURANGKENG, KEC. SETU, BEKASI, JAWA BARAT 17320","RS_RUJUKAN_PROVINSI","BEKASI, JAWA BARAT"
"RS UMUM DARMAYU PONOROGO","3502123", 146,"(0352) 481320", -7.86844400,111.47336800,"JL. DR. SUTOMO NO. 44-50 PONOROGO","RS_RUJUKAN_PROVINSI","PONOROGO, JAWA TIMUR"
"RS UMAR MASUD","3525101",  50,"0325421119", -5.84833640,112.66108870,"JL. PENDIDIKAN NO. 2 SANGKAPURA","RS_RUJUKAN_PROVINSI","GRESIK, JAWA TIMUR"
"RS UMUM SETJONEGORO WONOSOBO","3307013", 331,"", -7.35140000,109.90500000,"JL. SETJONEGORO NO.1,WONOSOBO","RS_RUJUKAN_PROVINSI","WONOSOBO, JAWA TENGAH"
"RS UMUM WIDODO","3521014", 141,"(0351) 746777", -7.40640600,111.44459900,"JL. YOS SUDARSO NO.8, WINONG, MARGOMULYO, KEC. NGAWI, KABUPATEN NGAWI, JAWA TIMUR 63217","RS_RUJUKAN_PROVINSI","NGAWI, JAWA TIMUR"
"RS UMUM DAERAH BUDHI ASIH","3172024", 382,"(021) 8090282", -6.25591300,106.86304300,"JL. DEWI SARTIKA, CAWANG III/ 200,JAKARTA TIMUR","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS UMUM DAERAH CARUBAN","3519023", 249,"(0351) 383956", -7.53917200,111.65587900,"JL. A. YANI KM 2 CARUBAN MADIUN","RS_RUJUKAN_PROVINSI","MADIUN, JAWA TIMUR"
"RS UMUM DAERAH DR. RASIDIN PADANG","1371444", 167,"(0751) 499150", -0.87958100,100.39454800,"GUNUNG SARIK, KURANJI, JL. AIR PAKU, GN. SARIK, KEC. KURANJI, KOTA PADANG, SUMATERA BARAT 25586","RS_RUJUKAN_PROVINSI","KOTA PADANG, SUMATERA BARAT"
" RS UMUM DAERAH S. K. LERIK","5303013", 100,NA,-10.18400000,123.59500000,"    JL. TIMOR RAYA PASIR NO. 134 KELURAHAN PASIR PANJANG ","RS_RUJUKAN_PROVINSI","KOTA KUPANG, NUSA TENGGARA TIMUR"
"RS UMUM DAERAH I LAGALIGO","7325016", 213,"082170002519", -2.57882900,120.81055300,"JL. SANGKURUWIRA,KEC.WOTU KAB.LUWU TIMUR","RS_RUJUKAN_PROVINSI","LUWU TIMUR, SULAWESI SELATAN"
"RS UMUM HARAPAN BUNDA","3172553", 142,"(021) 8400257", -6.30304000,106.86810500,"JL. RAYA BOGOR KM.22 NO.44 JAKTIM","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS AWAL BROS MAKASSAR","7371399", 213,"(0411) 454567", -5.13468100,119.43514500,"JL. URIP SUMOHARDJO NO. 43","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS. PARU KARANG TEMBOK SURABAYA","3578322", 121,"(031) 3713836", -7.22413700,112.74644500,"JL. KARANG TEMBOK NO. 39 SURABAYA","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR"
"RS UMUM PEKERJA","3175410", 125,"(021) 29484848", -6.14536600,106.92331300,"JL. TIPAR CAKUNG NO.46, RT.2/RW.1, SUKAPURA, KEC. CILINCING, KOTA JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14140","RS_RUJUKAN_PROVINSI","JAKARTA UTARA, DKI JAKARTA"
"RS UMUM  AWAL BROS PANAM","1471390", 199,"(0761) 586888",  0.46385639,101.39022796,"JL HR. SOEBRANTAS NO 88 PANAM, TUAH KARYA, KEC. TAMPAN, KOTA PEKANBARU, RIAU 28293","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU"
"RS SILOAM MAKASSAR","7371402", 206,"(0411) 3662900", -5.15017700,119.40709200,"JL. METRO TJ. BUNGA NO.KAV. 9, TJ. MERDEKA, SULAWESI SELATAN 90112","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS UMUM YARSI","3173712",  82,"(021) 29287264", -6.16973700,106.86944800,"JL. LETJEN. SUPRAPTO, KAV 13. RT. 10 RW. 5, SENEN, RT.10/RW.5, CEMP. PUTIH TIM., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10410","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA"
"RS UMUM DAERAH HARAPAN DAN DOA","1771002", 122,"0812-1269-7721", -3.79627400,102.26759500,"JL. BASUKI RAHMAT, PADANG JATI, KEC. RATU SAMBAN, KOTA BENGKULU, BENGKULU 38222","RS_RUJUKAN_PROVINSI","KOTA BENGKULU, BENGKULU"
"RS DJATIROTO","3508055", 131,"(0334) 321004", -8.11802300,113.35914000,"JL. PB SUDIRMAN NO. 81, JATIROTO, UMBULSARI, KALIBOTO KIDUL, KEC. JATIROTO","RS_RUJUKAN_PROVINSI","LUMAJANG, JAWA TIMUR"
"RS JIWA DAERAH SURAKARTA","3372052", 305,"", -7.55710000,110.86300000,"JL. K.H. DEWANTORO 80, JEBRES, SURAKARTA","RS_RUJUKAN_PROVINSI","KOTA SURAKARTA, JAWA TENGAH"
"RS UMUM HERMINA GRAND WISATA","3216318", 195,"", -6.27600000,107.04400000,"JL. FESTIVAL BOULEVARD BLOK J A1 NO.1 LAMBANG SARI TAMBUN SELATAN BEKASI","RS_RUJUKAN_PROVINSI","BEKASI, JAWA BARAT"
"RS UMUM DAERAH SAYANG","3203015", 560,"0263-261026", -6.81210000,107.14100000,"JL. RUMAH SAKIT NO.1 CIANJUR","RS_RUJUKAN_PROVINSI","CIANJUR, JAWA BARAT"
"RSU MITRA KELUARGA WARU","3515122", 214,"(031) 8542111", -7.36282000,112.72864700,"JL. JENDERAL S. PARMAN NO.8, KRAJAN KULON, WARU, KEC. WARU, KABUPATEN SIDOARJO, JAWA TIMUR 61256","RS_RUJUKAN_PROVINSI","SIDOARJO, JAWA TIMUR"
"RS. UNIVERSITAS ANDALAS","1371464", 115,"(0751) 8465000", -0.92092893,100.45705109,"KOMPLEKS KAMPUS UNAND, LIMAU MANIS, KEC. PAUH, PADANG","RS_RUJUKAN_PROVINSI","KOTA PADANG, SUMATERA BARAT"
"RS JIWA DUREN SAWIT","3172746", 348,"(021) 8628686", -6.23182500,106.90953400,"JL. DUREN SAWIT BARU JAKARTA TIMUR","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS UMUM DAERAH DR. H. SLAMET MARTODIRDJO PAMEKASAN","3528013", 295,"(0324) 326242", -7.18382800,113.47717800,"JL. RAYA PANGLEGUR NO.4, PAMEKASAN","RS_RUJUKAN_PROVINSI","PAMEKASAN, JAWA TIMUR"
"RS UMUM DAERAH GRATI","3514058",  71,"", -7.71401900,112.99832200,"JL. RAYA GRATI NO. 199 RANU KLINDUNGAN GRATI PASURUAN","RS_RUJUKAN_PROVINSI","PASURUAN, JAWA TIMUR"
"RS MANYAR MEDICAL CENTRE","3578772",  80,"(031) 33311188", -7.28998500,112.76344300,"JL. RAYA MANYAR NO.9, MANYAR SABRANGAN, KEC. MULYOREJO","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR"
"RS UMUM TUGU IBU","3201061", 123,"(021) 8710870", -6.35650000,106.86000000,"JL. RAYA BOGOR KM 29 CIMANGGIS - DEPOK","RS_RUJUKAN_PROVINSI","KOTA DEPOK, JAWA BARAT"
"RS IBNU SINA MAKASSAR","7371340", 224,"(0411) 452917", -5.13936900,119.44726900,"JL. U SUMOHARJO MAKASSAR KM. 05 NO. 264","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS ISLAM FAISAL","7371293", 260,"(0411) 871942", -5.16263000,119.43408400,"JL. A. P. PETTARANI, BANTA-BANTAENG, KEC. RAPPOCINI, KOTA MAKASSAR, SULAWESI SELATAN 90222","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS UMUM DAERAH BANGIL","3514036", 430,"(0343) 744900", -7.60456300,112.81884400,"JL. RAYA RACI - BANGIL KAB. PASURUAN","RS_RUJUKAN_PROVINSI","PASURUAN, JAWA TIMUR"
"RS UMUM DAERAH KARANGASEM","5107015", 172,"(0363) 21011", -8.45720000,115.60600000,"JL. NGURAH RAI,NO.58 AMLAPURA","RS_RUJUKAN_PROVINSI","KARANGASEM, BALI"
"RS UMUM BELLA","3275196", 100,"(021) 8819377", -6.24703900,107.01055100,"JL. IR. H. JUANDA NO.141, RT.001/RW.001, DUREN JAYA, KEC. BEKASI TIM.","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS UMUM RAHMAN RAHIM","3515132",  65,"(031) 8830010", -7.42057143,112.67157881,"JL. RAYA SAIMBANG NO. 277 RT. 10 RW. 03 DESA KEBONAGUNG KECAMATAN SUKODONO","RS_RUJUKAN_PROVINSI","SIDOARJO, JAWA TIMUR"
"RS UMUM DAERAH KAB. BATANG","3325015", 251,"", -6.91460000,109.71900000,"JL. DR SUTOMO NO. 42 BATANG","RS_RUJUKAN_PROVINSI","BATANG, JAWA TENGAH"
"RS UMUM DAERAH MENGGALA TULANG BAWANG","1808015", 194,"(0726) 21118", -4.54673100,105.22178800,"JL. LINTAS SUMATERA NO.1, TIUH TOHOU, MENGGALA, KABUPATEN TULANGBAWANG, LAMPUNG 34693","RS_RUJUKAN_PROVINSI","TULANG BAWANG, LAMPUNG"
"RS UMUM DAERAH LATEMMAMALA SOPPENG","7312011", 318,"(0484) 21119", -4.35055800,119.90179100,"JL. MALAKA RAYA KEC. LALABATA, KAB. SOPPENG","RS_RUJUKAN_PROVINSI","SOPPENG, SULAWESI SELATAN"
"RS UMUM ADHYAKSA","3172757", 103,"(021) 29462339", -6.30786200,106.89270400,"JL. RAYA HANKAM NO. 60 CEGER CIPAYUNG","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS UMUM DR. AK.GANI KOTA PALEMBANG","1671035", 244,"(0711) 354691", -2.98969300,104.76061100,"JL. DR. AK. GANI NO.1, 19 ILIR, KEC. BUKIT KECIL, KOTA PALEMBANG, SUMATERA SELATAN 30113","RS_RUJUKAN_PROVINSI","KOTA PALEMBANG, SUMATERA SELATAN"
"RS UMUM DAERAH IDAMAN BANJARBARU","6372014", 241,"(0511) 6749696", -3.09260000,115.28400000,"JL. TRIKORA NO. 115 GT. MANGGIS BANJARBARU","RS_RUJUKAN_PROVINSI","KOTA BANJARBARU, KALIMANTAN SELATAN"
"RS UMUM SINT CAROLUS","3173051", 277,"(021) 3904441", -6.19549800,106.85137500,"JL. SALEMBA RAYA NO.41 JAKARTA PUSAT","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA"
"RS UMUM HERMINA PODOMORO","3175304",  58,"021-6404910", -6.14560000,106.86100000,"JL. DANAU AGUNG 2 SUNTER JAKARTA UTARA","RS_RUJUKAN_PROVINSI","JAKARTA UTARA, DKI JAKARTA"
"RS UMUM HERMINA BEKASI","3275115", 343,"(021) 8842121", -6.24140000,106.99500000,"JL. KEMAKMURAN NO.39 MARGAJAYA BEKASI","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS UMUM LAVALETTE MALANG","3573066", 218,"(0341) 470805", -7.96573900,112.63792600,"JL. WR. SUPRATMAN NO.10 KOTA MALANG","RS_RUJUKAN_PROVINSI","KOTA MALANG, JAWA TIMUR"
"RS UMUM SILOAM PURWAKARTA","3214031", 236,"(0264) 8628900", -6.48879300,107.47691700,"JL. RAYA BUNGURSARI NO.1, CIBENING, KEC. BUNGURSARI, KABUPATEN PURWAKARTA, JAWA BARAT 41181","RS_RUJUKAN_PROVINSI","PURWAKARTA, JAWA BARAT"
"RS UMUM DAERAH CEMPAKA PUTIH","3173700",  30,"(021) 4224243", -6.18482400,106.87238300,"JL.RAWASARI SELATAN NO1","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA"
"RS UMUM DAERAH CIBABAT","3277020", 353,"(022) 6652025", -6.87924083,107.55077461,"JL. JEND. H. AMIR MACHMUD NO. 140 KEL. CIBABAT KEC. CIMAHI UTARA","RS_RUJUKAN_PROVINSI","KOTA CIMAHI, JAWA BARAT"
"RS UMUM BATARA SIANG","7310016", 239,"0811-415-118", -4.84254300,119.55569000,"JL. SULTAN HASANUDIN 7 PANGKAJENE","RS_RUJUKAN_PROVINSI","KEPULAUAN SELAYAR, SULAWESI SELATAN"
"RS UMUM MMC","3171515", 133,"(021) 5203435", -6.21996100,106.83230900,"JL. H R. RASUNA SAID NO.21,JAKSEL","RS_RUJUKAN_PROVINSI","JAKARTA SELATAN, DKI JAKARTA"
"RS UMUM DAERAH SUBANG","3213010", 372,"(0260) 411421", -6.81440000,107.94900000,"JL. BRIGJEN KATAMSO NO. 37 CIERENG","RS_RUJUKAN_PROVINSI","SUBANG, JAWA BARAT"
"RS MITRA KELUARGA PRATAMA","3216448", 113,"(021) 85511000", -6.28776800,106.95383300,"JL. RAYA JATIMEKAR, RT.001/RW.012, JATIMEKAR, KEC. JATIASIH, KOTA BKS, JAWA BARAT 17422","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS BHAYANGKARA AMBON","8171121",  98,NA, -3.67193100,128.19626200,"JL. SULTAN HASANUDDIN - TANTUI, AMBON","RS_RUJUKAN_PROVINSI","KOTA AMBON, MALUKU"
"RS UMUM DAERAH POLEWALI","7602044", 311,"(0428) 21451", -3.40678600,119.32287100,"JL. DR.RATULANGI NO.50, DARMA, POLEWALI, KABUPATEN POLEWALI MANDAR, SULAWESI BARAT 91315","RS_RUJUKAN_PROVINSI","POLEWALI MANDAR, SULAWESI BARAT"
"RS UMUM DAERAH IBNU SINA KAB. GRESIK","3525010", 337,"(031) 3951239", -7.16802700,112.60091900,"JL. DR. WAHIDIN SUDIROHUSODO NO. 243B GRESIK","RS_RUJUKAN_PROVINSI","GRESIK, JAWA TIMUR"
"RS UMUM PANTI RINI","3404102",  60,"(0274) 496022", -7.77172200,110.46662200,"JALAN SOLO KM. 13.2, TIRTOMARTANI, KALASAN, KRINGINAN, TIRTOMARTANI, KEC. KALASAN","RS_RUJUKAN_PROVINSI","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM DAERAH HAJI MAKASSAR","7371362", 252,"(0411) 855934", -5.17899000,119.41618700,"JL. DG. NGEPE NO. 14 MAKASSAR","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS UMUM SILOAM","3216152", 111,"(021) 29636900", -6.33168000,107.13554000,"JL. MH THAMRIN KAV.105 BEKASI","RS_RUJUKAN_PROVINSI","BEKASI, JAWA BARAT"
"RS UMUM BAJAWA","5312014", 101,"(0384) 21030", -8.79230000,120.96100000,"JL. DIPONEGORO NO. 5, BAJAWA","RS_RUJUKAN_PROVINSI","NGADA, NUSA TENGGARA TIMUR"
"RS DR. RAMELAN","3578020", 874,"(031) 8438153", -7.30968100,112.73857400,"JL. GADUNG NO. 1 SURABAYA","RS_RUJUKAN_PROVINSI","KOTA SURABAYA, JAWA TIMUR"
"RS UMUM DAERAH TALAUD","7104038", 124,"",  4.00579700,126.70800500,"JL. RAYA MALA KEC. MELONGUANE, TARUN SEL., KABUPATEN KEPULAUAN TALAUD, SULAWESI UTARA","RS_RUJUKAN_PROVINSI","KEPULAUAN TALAUD, SULAWESI UTARA"
"RS UMUM DAERAH AHMAD RIPIN","1505016", 108,"", -1.45364900,103.51823100,"BUKIT BALING, SEKERNAN, KABUPATEN MUARO JAMBI, JAMBI 36381","RS_RUJUKAN_PROVINSI","MUARO JAMBI, JAMBI"
"RS ANGKATAN DARAT REM WIRA BHAKTI MATARAM","5271021",  62,"0370-631280", -8.58088000,116.10894900,"JL. HOS COKROAMINOTO 7 MATARAM","RS_RUJUKAN_PROVINSI","KOTA MATARAM, NUSA TENGGARA BARAT"
"RS UMUM DAERAH MGR GABRIEL MANEK","5306016", 173,"(0389) 2513312", -9.09864818,124.89716372,"JL. DR SUTOMO NO.2 ATAMBUA","RS_RUJUKAN_PROVINSI","BELU, NUSA TENGGARA TIMUR"
"RS TNI ANGKATAN DARAT MARTHEN INDEY JAYAPURA","9203016", 142,"(0967) 537735", -2.54499400,140.69378300,"JLN. DIPONEGORO NO. 57 KELURAHAN GURABESI","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA"
"RS UMUM PERTAMINA-BINTANG AMIN LAMPUNG","1871427", 154,"(0721) 273601", -5.37904100,105.21929900,"JL. PRAMUKA NO.27, KEMILING PERMAI, KEC. KEMILING","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS BHAYANGKARA MATARAM","5271065",  80,"(0370) 629149", -8.58050000,116.09300000,"JL. LANGKO NO.64,MATARAM","RS_RUJUKAN_PROVINSI","KOTA MATARAM, NUSA TENGGARA BARAT"
"RS UMUM TK. IV 04.07.03 DR. ASMIR","3373020", 135,"", -7.33120959,110.51050155,"JL. DR MUWARDI NO. 50 SALATIGA","RS_RUJUKAN_PROVINSI","KOTA SALATIGA, JAWA TENGAH"
"RS UMUM PKU MUHAMMADIYAH SURAKARTA","3372096", 372,"", -7.56106950,110.83441211,"JL. RONGGOWARSITO 130, SURAKARTA","RS_RUJUKAN_PROVINSI","KOTA SURAKARTA, JAWA TENGAH"
"RS TK II M.RIDWAN MEURAKSA","3173084", 164,"(021) 22819465", -6.29425900,106.88278900,"JL. TAMAN MINI I RT 004 / RW 02 KEL. PINANGRANTI KEC. MAKASAR","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS TK. II DR. SOEPRAOEN","3573022", 238,"(0341) 325112", -7.98983300,112.62048100,"JL. SOEDANCO SUPRIYADI NO. 22 KOTA MALANG","RS_RUJUKAN_PROVINSI","KOTA MALANG, JAWA TIMUR"
" RSUD ROTE NDAO BA'A ","5303024",  49,NA,-10.18400000,123.59500000," JL. BA'A-BUSALANGGA, KAB. ROTE NDAO","RS_RUJUKAN_PROVINSI","ROTE NDAO, NUSA TENGGARA TIMUR"
"RS UMUM DAERAH NYI AGENG SERANG","3401052",  71,"(0274) 7880912", -7.82105400,110.22573600,"JL SENTOLO - MUNTILAN KM 0,3","RS_RUJUKAN_PROVINSI","KULON PROGO, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM SATRIA MEDIKA","3275060",  82,"(021) 22105678", -6.31790200,107.01238500,"JL. RAYA BANTAR GEBANG SETU NO 119 KEL PADURENAN KEC MUSTIKA JAYA","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS UMUM DAERAH TGK CHIK DITIRO SIGLI","1109016", 334,"0653 – 21313",  5.36378400, 95.95979400,"JL. PROF. A. MAJID IBRAHIM SIGLI","RS_RUJUKAN_PROVINSI","PIDIE, ACEH"
"RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA","3206023", 257,"", -7.35870974,108.10610200,"JL. RANCAMAYA SINGAPARNA, TASIKMALAYA","RS_RUJUKAN_PROVINSI","TASIKMALAYA, JAWA BARAT"
"RS UMUM DAERAH KARAWANG","3215012", 469,"(0267) 640444", -6.32077380,107.29094200,"JL. GALUH MAS RAYA NO.1, SUKAHARJA, TELUK JAMBE, KARAWANG","RS_RUJUKAN_PROVINSI","KARAWANG, JAWA BARAT"
"RS TK.II KARTIKA HUSADA KES.DAM XII TANJUNGPURA","6171022", 184,"0561 - 721391", -0.02250000,109.33000000,"JL. ADI SUCIPTO KM 6.5 SEI RAYA KUBU RAYA","RS_RUJUKAN_PROVINSI","KUBU RAYA, KALIMANTAN BARAT"
"RS JIWA DAERAH DR. RM. SOEDJARWADI","3310026", 220,"", -7.73534785,110.58474509,"JALAN KI PANDANARAN KM. 2, KLATEN","RS_RUJUKAN_PROVINSI","KLATEN, JAWA TENGAH"
"RS UMUM MITRA PLUMBON","3209051", 347,"(0231) 323100", -6.70149835,108.48156600,"JL. RAYA PLUMBON KM.11 CIREBON","RS_RUJUKAN_PROVINSI","CIREBON, JAWA BARAT"
"RS SILOAM YOGYAKARTA","3471380",  71,"(0274) 4600900", -7.78343100,110.39087500,"JL. LAKSDA ADISUCIPTO NO.32-34, DEMANGAN, KEC. GONDOKUSUMAN","RS_RUJUKAN_PROVINSI","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM DAERAH KH. DAUD ARIF","1507010", 106,"(0742) 21621", -0.82412300,103.46911300,"TUNGKAL II, TUNGKAL ILIR, KABUPATEN TANJUNG JABUNG BARAT, JAMBI 36514","RS_RUJUKAN_PROVINSI","TANJUNG JABUNG BARAT, JAMBI"
"RS AULIA","3603195",   0,"",  0.00000000,  0.00000000,"","RS_RUJUKAN_PROVINSI","PANDEGLANG, BANTEN"
"RS UMUM DAERAH BALARAJA","3603157", 222,"(021) 29508250", -6.19762600,106.43937500,"JL. RUMAH SAKIT NO.88, TOBAT, KEC. BALARAJA, TANGERANG, BANTEN 15126","RS_RUJUKAN_PROVINSI","TANGERANG, BANTEN"
"RS UMUM TELOGOREJO SEMARANG","3374043", 361,"", -6.98820000,110.42700000,"JL. KH. AHMAD DAHLAN SEMARANG","RS_RUJUKAN_PROVINSI","KOTA SEMARANG, JAWA TENGAH"
"RS TOELONGREDJO","3506025", 170,"(0354) 391145", -7.76293700,112.19792700,"JL. A.YANI TIMUR NO.25, PARE, KEC. PARE","RS_RUJUKAN_PROVINSI","KEDIRI, JAWA TIMUR"
"RS KHUSUS PARU PALEMBANG","1671312",  31,"(0711) 352010", -2.99002300,104.75047300,"JL. MERDEKA NO.10, TALANG SEMUT, KEC. BUKIT KECIL, KOTA PALEMBANG, SUMATERA SELATAN 30126","RS_RUJUKAN_PROVINSI","KOTA PALEMBANG, SUMATERA SELATAN"
"RS JIWA ABEPURA","9271045",  84,"(0967) 584595", -2.61679900,140.67185800,"JL. KESEHATAN II ABEPURA, KOTA JAYAPURA","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA"
"BOGOR SENIOR HOSPITALS","3201254",  79,"+622517556777", -6.64033200,106.83352000,"JL. RAYA TAJUR NO.168, RT.05/RW.04, MUARASARI, KEC. BOGOR SEL., KOTA BOGOR, JAWA BARAT 16137","RS_RUJUKAN_PROVINSI","KOTA BOGOR, JAWA BARAT"
"RSU MELANIA","3271161", 100,"+622518321196", -6.59543800,106.83863700,"JL. PAHLAWAN NO.91, RT.01/RW.16, BONDONGAN, KEC. BOGOR SEL., KOTA BOGOR, JAWA BARAT 16131","RS_RUJUKAN_PROVINSI","KOTA BOGOR, JAWA BARAT"
"RS  KATOLIK BHAKTI WARA","1971002",  80,"(0717) 422605", -2.14384200,106.09810300,"JL. SOLIHIN GP NO.180 KEL. GAJAH MADA KEC.RANGKUI","RS_RUJUKAN_PROVINSI","KOTA PANGKALPINANG, KEPULAUAN BANGKA BELITUNG"
"RS TK IV 02.07.04","1871026", 149,"(0721) 703574 / (0721) 770430", -5.40148400,105.25834700,"JL. DR. AHMAD RIVAI NO. 7, PENENGAHAN, BANDAR LAMPUNG","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR","3205022", 100,"0262-2816017", -7.65166500,107.74676600,"JL. RAYA MIRAMAREU NO 99 DESA SIRNABAKTI KEC. PAMEUNGPEUK","RS_RUJUKAN_PROVINSI","GARUT, JAWA BARAT"
"RS UMUM DAERAH  TENGKU SULUNG","1403035",  31,"0852-2015-2875", -0.71450000,103.24400000,"JL PENUNJANG PULAU KIJANG, PULAU KIJANG, RETEH, KABUPATEN INDRAGIRI HILIR, RIAU 29273","RS_RUJUKAN_PROVINSI","INDRAGIRI HILIR, RIAU"
"RS UMUM DAERAH NATUNA","2003011",  98,"(0773) 31128",  3.93611100,108.36584900,"JL. ALI MURTOPO, RANAI KOTA, BUNGURAN TIM., KABUPATEN NATUNA, KEPULAUAN RIAU 29783","RS_RUJUKAN_PROVINSI","NATUNA, KEPULAUAN RIAU"
"RS UMUM NADHLATUL ULAMA JOMBANG","3517094",  57,"(0321) 878700", -7.57826300,112.23702000,"JL. KH. HASYIM ASY'ARI NO.211, DIWEK, BALONG BESUK, KEC. DIWEK, KABUPATEN JOMBANG, JAWA TIMUR 61471","RS_RUJUKAN_PROVINSI","JOMBANG, JAWA TIMUR"
"RS UMUM DAERAH PANIAI","9202023", 112,"081377798828", -3.95122100,136.43141900,"JL. RAYA MADI KM.7, BADAUWO, PANIAI TIMUR, KABUPATEN PANIAI, PAPUA 98781","RS_RUJUKAN_PROVINSI","PANIAI, PAPUA"
"RS UMUM KARYA BHAKTI PRATIWI","3201245", 120,"(0251) 8626868", -6.56939000,106.73847600,"JL. RAYA DRAMAGA KM. 7 BOGOR","RS_RUJUKAN_PROVINSI","BOGOR, JAWA BARAT"
"RS KELUARGA HUSADA BATAM","2171062",  58,"07784804597",  1.12817500,104.10157200,"JL. TENGKU SULUNG ODESSA BLOK C1 NO. 12-16 KELURAHAN BELIAN KECAMATAN BATAM KOTA","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU"
